,date,tank,isIsolated,diameter,alpha,hlx,hln,spaceTank,NIVEL DE PRODUCTO,TEMPERATURA RADAR,substance,pmLiquid,pmVapor,a,b,kc
0,2023-12-03 00:01:00,K003,0,100,0,30,7,1,7076.02,87.5826,GMR,96.49,69.22,12.1851,5642.61,1
1,2023-12-03 00:02:00,K003,0,100,0,30,7,1,7076.02,87.5818,GMR,96.49,69.22,12.1851,5642.61,1
2,2023-12-03 00:03:00,K003,0,100,0,30,7,1,7076.02,87.5809,GMR,96.49,69.22,12.1851,5642.61,1
3,2023-12-03 00:04:00,K003,0,100,0,30,7,1,7076.02,87.5801,GMR,96.49,69.22,12.1851,5642.61,1
4,2023-12-03 00:05:00,K003,0,100,0,30,7,1,7076.02,87.5792,GMR,96.49,69.22,12.1851,5642.61,1
5,2023-12-03 00:06:00,K003,0,100,0,30,7,1,7076.02,87.5784,GMR,96.49,69.22,12.1851,5642.61,1
6,2023-12-03 00:07:00,K003,0,100,0,30,7,1,7076.02,87.5776,GMR,96.49,69.22,12.1851,5642.61,1
7,2023-12-03 00:08:00,K003,0,100,0,30,7,1,7076.02,87.5767,GMR,96.49,69.22,12.1851,5642.61,1
8,2023-12-03 00:09:00,K003,0,100,0,30,7,1,7076.02,87.5759,GMR,96.49,69.22,12.1851,5642.61,1
9,2023-12-03 00:10:00,K003,0,100,0,30,7,1,7076.02,87.575,GMR,96.49,69.22,12.1851,5642.61,1
10,2023-12-03 00:11:00,K003,0,100,0,30,7,1,7076.02,87.5742,GMR,96.49,69.22,12.1851,5642.61,1
11,2023-12-03 00:12:00,K003,0,100,0,30,7,1,7076.02,87.5733,GMR,96.49,69.22,12.1851,5642.61,1
12,2023-12-03 00:13:00,K003,0,100,0,30,7,1,7076.02,87.5725,GMR,96.49,69.22,12.1851,5642.61,1
13,2023-12-03 00:14:00,K003,0,100,0,30,7,1,7076.02,87.5717,GMR,96.49,69.22,12.1851,5642.61,1
14,2023-12-03 00:15:00,K003,0,100,0,30,7,1,7076.02,87.5708,GMR,96.49,69.22,12.1851,5642.61,1
15,2023-12-03 00:16:00,K003,0,100,0,30,7,1,7076.02,87.57,GMR,96.49,69.22,12.1851,5642.61,1
16,2023-12-03 00:17:00,K003,0,100,0,30,7,1,7076.02,87.5691,GMR,96.49,69.22,12.1851,5642.61,1
17,2023-12-03 00:18:00,K003,0,100,0,30,7,1,7076.02,87.5683,GMR,96.49,69.22,12.1851,5642.61,1
18,2023-12-03 00:19:00,K003,0,100,0,30,7,1,7076.02,87.5675,GMR,96.49,69.22,12.1851,5642.61,1
19,2023-12-03 00:20:00,K003,0,100,0,30,7,1,7076.02,87.5666,GMR,96.49,69.22,12.1851,5642.61,1
20,2023-12-03 00:21:00,K003,0,100,0,30,7,1,7076.02,87.5658,GMR,96.49,69.22,12.1851,5642.61,1
21,2023-12-03 00:22:00,K003,0,100,0,30,7,1,7076.02,87.5649,GMR,96.49,69.22,12.1851,5642.61,1
22,2023-12-03 00:23:00,K003,0,100,0,30,7,1,7076.02,87.5641,GMR,96.49,69.22,12.1851,5642.61,1
23,2023-12-03 00:24:00,K003,0,100,0,30,7,1,7076.02,87.5632,GMR,96.49,69.22,12.1851,5642.61,1
24,2023-12-03 00:25:00,K003,0,100,0,30,7,1,7076.02,87.5624,GMR,96.49,69.22,12.1851,5642.61,1
25,2023-12-03 00:26:00,K003,0,100,0,30,7,1,7076.02,87.5616,GMR,96.49,69.22,12.1851,5642.61,1
26,2023-12-03 00:27:00,K003,0,100,0,30,7,1,7076.02,87.5607,GMR,96.49,69.22,12.1851,5642.61,1
27,2023-12-03 00:28:00,K003,0,100,0,30,7,1,7076.02,87.5599,GMR,96.49,69.22,12.1851,5642.61,1
28,2023-12-03 00:29:00,K003,0,100,0,30,7,1,7076.02,87.559,GMR,96.49,69.22,12.1851,5642.61,1
29,2023-12-03 00:30:00,K003,0,100,0,30,7,1,7076.02,87.5582,GMR,96.49,69.22,12.1851,5642.61,1
30,2023-12-03 00:31:00,K003,0,100,0,30,7,1,7076.02,87.5574,GMR,96.49,69.22,12.1851,5642.61,1
31,2023-12-03 00:32:00,K003,0,100,0,30,7,1,7076.02,87.5565,GMR,96.49,69.22,12.1851,5642.61,1
32,2023-12-03 00:33:00,K003,0,100,0,30,7,1,7076.02,87.5557,GMR,96.49,69.22,12.1851,5642.61,1
33,2023-12-03 00:34:00,K003,0,100,0,30,7,1,7076.02,87.5548,GMR,96.49,69.22,12.1851,5642.61,1
34,2023-12-03 00:35:00,K003,0,100,0,30,7,1,7076.02,87.554,GMR,96.49,69.22,12.1851,5642.61,1
35,2023-12-03 00:36:00,K003,0,100,0,30,7,1,7076.02,87.5531,GMR,96.49,69.22,12.1851,5642.61,1
36,2023-12-03 00:37:00,K003,0,100,0,30,7,1,7076.02,87.5523,GMR,96.49,69.22,12.1851,5642.61,1
37,2023-12-03 00:38:00,K003,0,100,0,30,7,1,7076.02,87.5515,GMR,96.49,69.22,12.1851,5642.61,1
38,2023-12-03 00:39:00,K003,0,100,0,30,7,1,7076.02,87.5506,GMR,96.49,69.22,12.1851,5642.61,1
39,2023-12-03 00:40:00,K003,0,100,0,30,7,1,7076.02,87.5498,GMR,96.49,69.22,12.1851,5642.61,1
40,2023-12-03 00:41:00,K003,0,100,0,30,7,1,7076.02,87.5489,GMR,96.49,69.22,12.1851,5642.61,1
41,2023-12-03 00:42:00,K003,0,100,0,30,7,1,7076.02,87.5481,GMR,96.49,69.22,12.1851,5642.61,1
42,2023-12-03 00:43:00,K003,0,100,0,30,7,1,7076.02,87.5472,GMR,96.49,69.22,12.1851,5642.61,1
43,2023-12-03 00:44:00,K003,0,100,0,30,7,1,7076.02,87.5464,GMR,96.49,69.22,12.1851,5642.61,1
44,2023-12-03 00:45:00,K003,0,100,0,30,7,1,7076.02,87.5456,GMR,96.49,69.22,12.1851,5642.61,1
45,2023-12-03 00:46:00,K003,0,100,0,30,7,1,7076.02,87.5447,GMR,96.49,69.22,12.1851,5642.61,1
46,2023-12-03 00:47:00,K003,0,100,0,30,7,1,7076.02,87.5439,GMR,96.49,69.22,12.1851,5642.61,1
47,2023-12-03 00:48:00,K003,0,100,0,30,7,1,7076.02,87.543,GMR,96.49,69.22,12.1851,5642.61,1
48,2023-12-03 00:49:00,K003,0,100,0,30,7,1,7076.02,87.5422,GMR,96.49,69.22,12.1851,5642.61,1
49,2023-12-03 00:50:00,K003,0,100,0,30,7,1,7076.02,87.5414,GMR,96.49,69.22,12.1851,5642.61,1
50,2023-12-03 00:51:00,K003,0,100,0,30,7,1,7076.02,87.5405,GMR,96.49,69.22,12.1851,5642.61,1
51,2023-12-03 00:52:00,K003,0,100,0,30,7,1,7076.02,87.5397,GMR,96.49,69.22,12.1851,5642.61,1
52,2023-12-03 00:53:00,K003,0,100,0,30,7,1,7076.02,87.5388,GMR,96.49,69.22,12.1851,5642.61,1
53,2023-12-03 00:54:00,K003,0,100,0,30,7,1,7076.02,87.538,GMR,96.49,69.22,12.1851,5642.61,1
54,2023-12-03 00:55:00,K003,0,100,0,30,7,1,7076.02,87.5371,GMR,96.49,69.22,12.1851,5642.61,1
55,2023-12-03 00:56:00,K003,0,100,0,30,7,1,7076.02,87.5363,GMR,96.49,69.22,12.1851,5642.61,1
56,2023-12-03 00:57:00,K003,0,100,0,30,7,1,7076.02,87.5355,GMR,96.49,69.22,12.1851,5642.61,1
57,2023-12-03 00:58:00,K003,0,100,0,30,7,1,7076.02,87.5346,GMR,96.49,69.22,12.1851,5642.61,1
58,2023-12-03 00:59:00,K003,0,100,0,30,7,1,7076.02,87.5338,GMR,96.49,69.22,12.1851,5642.61,1
59,2023-12-03 01:00:00,K003,0,100,0,30,7,1,7076.02,87.5329,GMR,96.49,69.22,12.1851,5642.61,1
60,2023-12-03 01:01:00,K003,0,100,0,30,7,1,7076.02,87.5321,GMR,96.49,69.22,12.1851,5642.61,1
61,2023-12-03 01:02:00,K003,0,100,0,30,7,1,7076.02,87.5313,GMR,96.49,69.22,12.1851,5642.61,1
62,2023-12-03 01:03:00,K003,0,100,0,30,7,1,7076.02,87.5304,GMR,96.49,69.22,12.1851,5642.61,1
63,2023-12-03 01:04:00,K003,0,100,0,30,7,1,7076.02,87.5296,GMR,96.49,69.22,12.1851,5642.61,1
64,2023-12-03 01:05:00,K003,0,100,0,30,7,1,7076.02,87.5287,GMR,96.49,69.22,12.1851,5642.61,1
65,2023-12-03 01:06:00,K003,0,100,0,30,7,1,7076.02,87.5279,GMR,96.49,69.22,12.1851,5642.61,1
66,2023-12-03 01:07:00,K003,0,100,0,30,7,1,7076.02,87.527,GMR,96.49,69.22,12.1851,5642.61,1
67,2023-12-03 01:08:00,K003,0,100,0,30,7,1,7076.02,87.5262,GMR,96.49,69.22,12.1851,5642.61,1
68,2023-12-03 01:09:00,K003,0,100,0,30,7,1,7076.02,87.5254,GMR,96.49,69.22,12.1851,5642.61,1
69,2023-12-03 01:10:00,K003,0,100,0,30,7,1,7076.02,87.5245,GMR,96.49,69.22,12.1851,5642.61,1
70,2023-12-03 01:11:00,K003,0,100,0,30,7,1,7076.02,87.5237,GMR,96.49,69.22,12.1851,5642.61,1
71,2023-12-03 01:12:00,K003,0,100,0,30,7,1,7076.02,87.5228,GMR,96.49,69.22,12.1851,5642.61,1
72,2023-12-03 01:13:00,K003,0,100,0,30,7,1,7076.02,87.522,GMR,96.49,69.22,12.1851,5642.61,1
73,2023-12-03 01:14:00,K003,0,100,0,30,7,1,7076.02,87.5212,GMR,96.49,69.22,12.1851,5642.61,1
74,2023-12-03 01:15:00,K003,0,100,0,30,7,1,7076.02,87.5203,GMR,96.49,69.22,12.1851,5642.61,1
75,2023-12-03 01:16:00,K003,0,100,0,30,7,1,7076.02,87.5195,GMR,96.49,69.22,12.1851,5642.61,1
76,2023-12-03 01:17:00,K003,0,100,0,30,7,1,7076.02,87.5186,GMR,96.49,69.22,12.1851,5642.61,1
77,2023-12-03 01:18:00,K003,0,100,0,30,7,1,7076.02,87.5178,GMR,96.49,69.22,12.1851,5642.61,1
78,2023-12-03 01:19:00,K003,0,100,0,30,7,1,7076.02,87.5169,GMR,96.49,69.22,12.1851,5642.61,1
79,2023-12-03 01:20:00,K003,0,100,0,30,7,1,7076.02,87.5161,GMR,96.49,69.22,12.1851,5642.61,1
80,2023-12-03 01:21:00,K003,0,100,0,30,7,1,7076.02,87.5153,GMR,96.49,69.22,12.1851,5642.61,1
81,2023-12-03 01:22:00,K003,0,100,0,30,7,1,7076.02,87.5144,GMR,96.49,69.22,12.1851,5642.61,1
82,2023-12-03 01:23:00,K003,0,100,0,30,7,1,7076.02,87.5136,GMR,96.49,69.22,12.1851,5642.61,1
83,2023-12-03 01:24:00,K003,0,100,0,30,7,1,7076.02,87.5127,GMR,96.49,69.22,12.1851,5642.61,1
84,2023-12-03 01:25:00,K003,0,100,0,30,7,1,7076.02,87.5119,GMR,96.49,69.22,12.1851,5642.61,1
85,2023-12-03 01:26:00,K003,0,100,0,30,7,1,7076.02,87.5111,GMR,96.49,69.22,12.1851,5642.61,1
86,2023-12-03 01:27:00,K003,0,100,0,30,7,1,7076.02,87.5102,GMR,96.49,69.22,12.1851,5642.61,1
87,2023-12-03 01:28:00,K003,0,100,0,30,7,1,7076.02,87.5094,GMR,96.49,69.22,12.1851,5642.61,1
88,2023-12-03 01:29:00,K003,0,100,0,30,7,1,7076.02,87.5085,GMR,96.49,69.22,12.1851,5642.61,1
89,2023-12-03 01:30:00,K003,0,100,0,30,7,1,7076.02,87.5077,GMR,96.49,69.22,12.1851,5642.61,1
90,2023-12-03 01:31:00,K003,0,100,0,30,7,1,7076.02,87.5068,GMR,96.49,69.22,12.1851,5642.61,1
91,2023-12-03 01:32:00,K003,0,100,0,30,7,1,7076.02,87.506,GMR,96.49,69.22,12.1851,5642.61,1
92,2023-12-03 01:33:00,K003,0,100,0,30,7,1,7076.02,87.5052,GMR,96.49,69.22,12.1851,5642.61,1
93,2023-12-03 01:34:00,K003,0,100,0,30,7,1,7076.02,87.5043,GMR,96.49,69.22,12.1851,5642.61,1
94,2023-12-03 01:35:00,K003,0,100,0,30,7,1,7076.02,87.5035,GMR,96.49,69.22,12.1851,5642.61,1
95,2023-12-03 01:36:00,K003,0,100,0,30,7,1,7076.02,87.5026,GMR,96.49,69.22,12.1851,5642.61,1
96,2023-12-03 01:37:00,K003,0,100,0,30,7,1,7076.02,87.5018,GMR,96.49,69.22,12.1851,5642.61,1
97,2023-12-03 01:38:00,K003,0,100,0,30,7,1,7076.02,87.501,GMR,96.49,69.22,12.1851,5642.61,1
98,2023-12-03 01:39:00,K003,0,100,0,30,7,1,7076.02,87.5001,GMR,96.49,69.22,12.1851,5642.61,1
99,2023-12-03 01:40:00,K003,0,100,0,30,7,1,7076.02,87.4995,GMR,96.49,69.22,12.1851,5642.61,1
100,2023-12-03 01:40:59,K003,0,100,0,30,7,1,7076.02,87.4988,GMR,96.49,69.22,12.1851,5642.61,1
101,2023-12-03 01:41:59,K003,0,100,0,30,7,1,7076.02,87.4982,GMR,96.49,69.22,12.1851,5642.61,1
102,2023-12-03 01:42:59,K003,0,100,0,30,7,1,7076.02,87.4976,GMR,96.49,69.22,12.1851,5642.61,1
103,2023-12-03 01:43:59,K003,0,100,0,30,7,1,7076.02,87.4969,GMR,96.49,69.22,12.1851,5642.61,1
104,2023-12-03 01:44:59,K003,0,100,0,30,7,1,7076.02,87.4963,GMR,96.49,69.22,12.1851,5642.61,1
105,2023-12-03 01:45:59,K003,0,100,0,30,7,1,7076.02,87.4957,GMR,96.49,69.22,12.1851,5642.61,1
106,2023-12-03 01:46:59,K003,0,100,0,30,7,1,7076.02,87.4951,GMR,96.49,69.22,12.1851,5642.61,1
107,2023-12-03 01:47:59,K003,0,100,0,30,7,1,7076.02,87.4944,GMR,96.49,69.22,12.1851,5642.61,1
108,2023-12-03 01:48:59,K003,0,100,0,30,7,1,7076.02,87.4938,GMR,96.49,69.22,12.1851,5642.61,1
109,2023-12-03 01:49:59,K003,0,100,0,30,7,1,7076.02,87.4932,GMR,96.49,69.22,12.1851,5642.61,1
110,2023-12-03 01:50:59,K003,0,100,0,30,7,1,7076.02,87.4926,GMR,96.49,69.22,12.1851,5642.61,1
111,2023-12-03 01:51:59,K003,0,100,0,30,7,1,7076.02,87.4919,GMR,96.49,69.22,12.1851,5642.61,1
112,2023-12-03 01:52:59,K003,0,100,0,30,7,1,7076.02,87.4913,GMR,96.49,69.22,12.1851,5642.61,1
113,2023-12-03 01:53:59,K003,0,100,0,30,7,1,7076.02,87.4907,GMR,96.49,69.22,12.1851,5642.61,1
114,2023-12-03 01:54:59,K003,0,100,0,30,7,1,7076.02,87.4901,GMR,96.49,69.22,12.1851,5642.61,1
115,2023-12-03 01:55:59,K003,0,100,0,30,7,1,7076.02,87.4894,GMR,96.49,69.22,12.1851,5642.61,1
116,2023-12-03 01:56:59,K003,0,100,0,30,7,1,7076.02,87.4888,GMR,96.49,69.22,12.1851,5642.61,1
117,2023-12-03 01:57:59,K003,0,100,0,30,7,1,7076.02,87.4882,GMR,96.49,69.22,12.1851,5642.61,1
118,2023-12-03 01:58:59,K003,0,100,0,30,7,1,7076.02,87.4875,GMR,96.49,69.22,12.1851,5642.61,1
119,2023-12-03 01:59:59,K003,0,100,0,30,7,1,7076.02,87.4869,GMR,96.49,69.22,12.1851,5642.61,1
120,2023-12-03 02:00:59,K003,0,100,0,30,7,1,7076.02,87.4863,GMR,96.49,69.22,12.1851,5642.61,1
121,2023-12-03 02:01:59,K003,0,100,0,30,7,1,7076.02,87.4857,GMR,96.49,69.22,12.1851,5642.61,1
122,2023-12-03 02:02:59,K003,0,100,0,30,7,1,7076.02,87.485,GMR,96.49,69.22,12.1851,5642.61,1
123,2023-12-03 02:03:59,K003,0,100,0,30,7,1,7076.02,87.4844,GMR,96.49,69.22,12.1851,5642.61,1
124,2023-12-03 02:04:59,K003,0,100,0,30,7,1,7076.02,87.4838,GMR,96.49,69.22,12.1851,5642.61,1
125,2023-12-03 02:05:59,K003,0,100,0,30,7,1,7076.02,87.4832,GMR,96.49,69.22,12.1851,5642.61,1
126,2023-12-03 02:06:59,K003,0,100,0,30,7,1,7076.02,87.4825,GMR,96.49,69.22,12.1851,5642.61,1
127,2023-12-03 02:07:59,K003,0,100,0,30,7,1,7076.02,87.4819,GMR,96.49,69.22,12.1851,5642.61,1
128,2023-12-03 02:08:59,K003,0,100,0,30,7,1,7076.02,87.4813,GMR,96.49,69.22,12.1851,5642.61,1
129,2023-12-03 02:09:59,K003,0,100,0,30,7,1,7076.02,87.4806,GMR,96.49,69.22,12.1851,5642.61,1
130,2023-12-03 02:10:59,K003,0,100,0,30,7,1,7076.02,87.48,GMR,96.49,69.22,12.1851,5642.61,1
131,2023-12-03 02:11:59,K003,0,100,0,30,7,1,7076.02,87.4794,GMR,96.49,69.22,12.1851,5642.61,1
132,2023-12-03 02:12:59,K003,0,100,0,30,7,1,7076.02,87.4788,GMR,96.49,69.22,12.1851,5642.61,1
133,2023-12-03 02:13:59,K003,0,100,0,30,7,1,7076.02,87.4781,GMR,96.49,69.22,12.1851,5642.61,1
134,2023-12-03 02:14:59,K003,0,100,0,30,7,1,7076.02,87.4775,GMR,96.49,69.22,12.1851,5642.61,1
135,2023-12-03 02:15:59,K003,0,100,0,30,7,1,7076.02,87.4769,GMR,96.49,69.22,12.1851,5642.61,1
136,2023-12-03 02:16:59,K003,0,100,0,30,7,1,7076.02,87.4762,GMR,96.49,69.22,12.1851,5642.61,1
137,2023-12-03 02:17:59,K003,0,100,0,30,7,1,7076.02,87.4756,GMR,96.49,69.22,12.1851,5642.61,1
138,2023-12-03 02:18:59,K003,0,100,0,30,7,1,7076.02,87.475,GMR,96.49,69.22,12.1851,5642.61,1
139,2023-12-03 02:19:59,K003,0,100,0,30,7,1,7076.02,87.4744,GMR,96.49,69.22,12.1851,5642.61,1
140,2023-12-03 02:20:59,K003,0,100,0,30,7,1,7076.02,87.4737,GMR,96.49,69.22,12.1851,5642.61,1
141,2023-12-03 02:21:59,K003,0,100,0,30,7,1,7076.02,87.4731,GMR,96.49,69.22,12.1851,5642.61,1
142,2023-12-03 02:22:59,K003,0,100,0,30,7,1,7076.02,87.4725,GMR,96.49,69.22,12.1851,5642.61,1
143,2023-12-03 02:23:59,K003,0,100,0,30,7,1,7076.02,87.4719,GMR,96.49,69.22,12.1851,5642.61,1
144,2023-12-03 02:24:59,K003,0,100,0,30,7,1,7076.02,87.4712,GMR,96.49,69.22,12.1851,5642.61,1
145,2023-12-03 02:25:59,K003,0,100,0,30,7,1,7076.02,87.4706,GMR,96.49,69.22,12.1851,5642.61,1
146,2023-12-03 02:26:59,K003,0,100,0,30,7,1,7076.02,87.47,GMR,96.49,69.22,12.1851,5642.61,1
147,2023-12-03 02:27:59,K003,0,100,0,30,7,1,7076.02,87.4694,GMR,96.49,69.22,12.1851,5642.61,1
148,2023-12-03 02:28:59,K003,0,100,0,30,7,1,7076.02,87.4687,GMR,96.49,69.22,12.1851,5642.61,1
149,2023-12-03 02:29:59,K003,0,100,0,30,7,1,7076.02,87.4681,GMR,96.49,69.22,12.1851,5642.61,1
150,2023-12-03 02:30:59,K003,0,100,0,30,7,1,7076.02,87.4675,GMR,96.49,69.22,12.1851,5642.61,1
151,2023-12-03 02:31:59,K003,0,100,0,30,7,1,7076.02,87.4668,GMR,96.49,69.22,12.1851,5642.61,1
152,2023-12-03 02:32:59,K003,0,100,0,30,7,1,7076.02,87.4662,GMR,96.49,69.22,12.1851,5642.61,1
153,2023-12-03 02:33:59,K003,0,100,0,30,7,1,7076.02,87.4656,GMR,96.49,69.22,12.1851,5642.61,1
154,2023-12-03 02:34:59,K003,0,100,0,30,7,1,7076.02,87.465,GMR,96.49,69.22,12.1851,5642.61,1
155,2023-12-03 02:35:59,K003,0,100,0,30,7,1,7076.02,87.4643,GMR,96.49,69.22,12.1851,5642.61,1
156,2023-12-03 02:36:59,K003,0,100,0,30,7,1,7076.02,87.4637,GMR,96.49,69.22,12.1851,5642.61,1
157,2023-12-03 02:37:59,K003,0,100,0,30,7,1,7076.02,87.4631,GMR,96.49,69.22,12.1851,5642.61,1
158,2023-12-03 02:38:59,K003,0,100,0,30,7,1,7076.02,87.4625,GMR,96.49,69.22,12.1851,5642.61,1
159,2023-12-03 02:39:59,K003,0,100,0,30,7,1,7076.02,87.4618,GMR,96.49,69.22,12.1851,5642.61,1
160,2023-12-03 02:40:59,K003,0,100,0,30,7,1,7076.02,87.4612,GMR,96.49,69.22,12.1851,5642.61,1
161,2023-12-03 02:41:59,K003,0,100,0,30,7,1,7076.02,87.4606,GMR,96.49,69.22,12.1851,5642.61,1
162,2023-12-03 02:42:59,K003,0,100,0,30,7,1,7076.02,87.4599,GMR,96.49,69.22,12.1851,5642.61,1
163,2023-12-03 02:43:59,K003,0,100,0,30,7,1,7076.02,87.4593,GMR,96.49,69.22,12.1851,5642.61,1
164,2023-12-03 02:44:59,K003,0,100,0,30,7,1,7076.02,87.4587,GMR,96.49,69.22,12.1851,5642.61,1
165,2023-12-03 02:45:59,K003,0,100,0,30,7,1,7076.02,87.4581,GMR,96.49,69.22,12.1851,5642.61,1
166,2023-12-03 02:46:59,K003,0,100,0,30,7,1,7076.02,87.4574,GMR,96.49,69.22,12.1851,5642.61,1
167,2023-12-03 02:47:59,K003,0,100,0,30,7,1,7076.02,87.4568,GMR,96.49,69.22,12.1851,5642.61,1
168,2023-12-03 02:48:59,K003,0,100,0,30,7,1,7076.02,87.4562,GMR,96.49,69.22,12.1851,5642.61,1
169,2023-12-03 02:49:59,K003,0,100,0,30,7,1,7076.02,87.4556,GMR,96.49,69.22,12.1851,5642.61,1
170,2023-12-03 02:50:59,K003,0,100,0,30,7,1,7076.02,87.4549,GMR,96.49,69.22,12.1851,5642.61,1
171,2023-12-03 02:51:59,K003,0,100,0,30,7,1,7076.02,87.4543,GMR,96.49,69.22,12.1851,5642.61,1
172,2023-12-03 02:52:59,K003,0,100,0,30,7,1,7076.02,87.4537,GMR,96.49,69.22,12.1851,5642.61,1
173,2023-12-03 02:53:59,K003,0,100,0,30,7,1,7076.02,87.453,GMR,96.49,69.22,12.1851,5642.61,1
174,2023-12-03 02:54:59,K003,0,100,0,30,7,1,7076.02,87.4524,GMR,96.49,69.22,12.1851,5642.61,1
175,2023-12-03 02:55:59,K003,0,100,0,30,7,1,7076.02,87.4518,GMR,96.49,69.22,12.1851,5642.61,1
176,2023-12-03 02:56:59,K003,0,100,0,30,7,1,7076.02,87.4512,GMR,96.49,69.22,12.1851,5642.61,1
177,2023-12-03 02:57:59,K003,0,100,0,30,7,1,7076.02,87.4505,GMR,96.49,69.22,12.1851,5642.61,1
178,2023-12-03 02:58:59,K003,0,100,0,30,7,1,7076.02,87.4499,GMR,96.49,69.22,12.1851,5642.61,1
179,2023-12-03 02:59:59,K003,0,100,0,30,7,1,7076.02,87.4493,GMR,96.49,69.22,12.1851,5642.61,1
180,2023-12-03 03:00:59,K003,0,100,0,30,7,1,7076.02,87.4487,GMR,96.49,69.22,12.1851,5642.61,1
181,2023-12-03 03:01:59,K003,0,100,0,30,7,1,7076.02,87.448,GMR,96.49,69.22,12.1851,5642.61,1
182,2023-12-03 03:02:59,K003,0,100,0,30,7,1,7076.02,87.4474,GMR,96.49,69.22,12.1851,5642.61,1
183,2023-12-03 03:03:59,K003,0,100,0,30,7,1,7076.02,87.4468,GMR,96.49,69.22,12.1851,5642.61,1
184,2023-12-03 03:04:59,K003,0,100,0,30,7,1,7076.02,87.4462,GMR,96.49,69.22,12.1851,5642.61,1
185,2023-12-03 03:05:59,K003,0,100,0,30,7,1,7076.02,87.4455,GMR,96.49,69.22,12.1851,5642.61,1
186,2023-12-03 03:06:59,K003,0,100,0,30,7,1,7076.02,87.4449,GMR,96.49,69.22,12.1851,5642.61,1
187,2023-12-03 03:07:59,K003,0,100,0,30,7,1,7076.02,87.4443,GMR,96.49,69.22,12.1851,5642.61,1
188,2023-12-03 03:08:59,K003,0,100,0,30,7,1,7076.02,87.4436,GMR,96.49,69.22,12.1851,5642.61,1
189,2023-12-03 03:09:59,K003,0,100,0,30,7,1,7076.02,87.443,GMR,96.49,69.22,12.1851,5642.61,1
